Index,Title,Rating,Votes,Runtimes,Budget,World_Gross,Country,Action,Adventure,Adult,Animation,Comedy,Crime,Documentary,Drama,Fantasy,Family,FilmNoir,Horror,Musical,Mystery,Romance,SciFi,Short,Thriller,War,Western
1284,The Scarecrow,8,2180,19,,,USA,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1285,The Time of Their Lives,8,2177,,"$830,000 ",,USA,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1286,Durak,8,2174,116,,,Russia,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1287,The Old Mill,8,2169,9,,,USA,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
1288,Dlug,8,2168,106,,,Poland,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1289,Kohayagawa-ke no aki,8,2165,,,,Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1290,The Last Command,8,2155,88,,,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
1291,Desu n?to,8,21520,126,"$20,000,000 ",,Japan,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0
1292,Kuroi ame,8,2124,123,,,Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1293,The Nightmare Before Christmas,8,209124,76,"$18,000,000 ",,USA,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1294,Nybyggarna,8,2086,,,,Sweden,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1295,The Untouchables,8,207493,119,"$25,000,000 ","$106,240,936 (worldwide)",USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1296,Burma VJ: Reporter i et lukket land,8,2069,84,,,Denmark,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1297,Miesten vuoro,8,2045,81,,,Finland,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1298,Olympia 2. Teil - Fest der Sch?nheit,8,2033,,,,Germany,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1299,The White Stripes Under Great White Northern Lights,8,2020,93,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1300,The Graduate,8,201294,106,"$3,000,000 ","$114,945,305 (worldwide)",USA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1301,Stevie,8,2011,140,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1302,Bridge of Spies,8,19840,141,"$40,000,000 ",,USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1303,Neokonchennaya pyesa dlya mekhanicheskogo pianino,8,1963,103,,,Soviet Union,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1304,Parinda,8,1955,154,,,India,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1305,Sult,8,1929,112,,,Denmark,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1306,Knockin' on Heaven's Door,8,19089,87,,,Germany,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1307,Good News,8,1893,93,"$1,662,718 ",,USA,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1308,Ziemia obiecana,8,1886,179,,,Poland,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1309,Vizontele,8,18758,,"$2,500,000 ",,Turkey,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1310,Bawarchi,8,1865,130,,,India,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
1311,Baishe Srabon,8,1863,,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1312,Pek Yakinda,8,18490,134,,,Turkey,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1313,Sedotta e abbandonata,8,1845,,,,Italy,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1314,Scent of a Woman,8,183832,156,"$31,000,000 ","$134,895,607 (worldwide)",USA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1315,In Cold Blood,8,18138,134,"$3,500,000 ",,USA,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1316,Hiroshima mon amour,8,18131,90,,,France,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1317,Rejs,8,1810,65,,,Poland,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1318,La belle et la b?te,8,18089,96,,,France,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1319,The Artist,8,179436,100,"$15,000,000 ","$133,432,856 (Worldwide)",France,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1320,All This Mayhem,8,1788,104,,,UK,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1321,Dances with Wolves,8,175240,236,"$19,000,000 ","$424,200,000 (Worldwide)",USA,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
1322,Zakhm,8,1744,125,,,India,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1323,Abhimaan,8,1727,122,,,India,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
1324,Elvis: That's the Way It Is,8,1712,97,,,USA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1325,Nun va Goldoon,8,1705,78,,,Iran,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1326,Kon-Tiki,8,1695,77,,,Norway,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1327,You Can't Take It With You,8,16918,126,"$1,644,736 ",,USA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1328,Great Expectations,8,16906,118,,,UK,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1329,L'avventura,8,16629,143,,,Italy,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1330,Susuz yaz,8,1661,90,,,Turkey,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1331,L?t den r?tte komma in,8,165536,115,"$4,000,000 ","$7,282,007 (Worldwide) (5 April 2009)",Sweden,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
1332,Mickey's Trailer,8,1634,7,,,USA,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1333,Le bal,8,1624,,,,Italy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1334,Land des Schweigens und der Dunkelheit,8,1612,85,,,West Germany,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1335,S?shun,8,1609,144,,,Japan,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1336,Rare Exports Inc.,8,1607,8,,,Finland,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1337,Manon des sources,8,15957,113,,,Italy,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1338,The Big Heat,8,15731,90,,,USA,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1339,Aasef ala el-iz'ag,8,1564,,,,Egypt,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1340,In a Lonely Place,8,15534,94,,,USA,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
